"path;""id"";""parent_id"";""level"";""object_id"";""object_type"";""object_key"";""query_status"";""query_time"";""query_type"";""text""",,,
"Rudawkurdish/1509837645886758916;""21716"";""21685"";""1"";""1509837645886758916"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""@Rudawkurdish ئینجا دەوڵەتی كوردستان چی پەیوەندی بەنئو ماڵی شیعەوە هەیە خۆ  بەقسەی سەركردەكانی كوردبئت ئەون دوژمنی كوردن""",,,
"Rudawkurdish/Rudawkurdish;""21717"";""21685"";""1"";""Rudawkurdish"";""offcut"";"""";""fetched (200)"";""2022-04-01 18:09:12.003404"";""Twitter:/search/tweets"";""""",,,
"Rudawkurdish/1509837566010404874;""21718"";""21685"";""1"";""1509837566010404874"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.319559"";""Twitter:/search/tweets"";""RT @Rudawkurdish: رێواسی ئەمساڵ پێگەیشتووە   دیمەنەکان چیای قەلەندەرە لە دەڤەری بارزان   عومەر شێرۆكی وێنەکانی بۆ رووداو ناردووە https://t.…""",,,
"Rudawkurdish/1509837218503872518;""21719"";""21685"";""1"";""1509837218503872518"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.319559"";""Twitter:/search/tweets"";""@Rudawkurdish بۆ تائێستا گەلک زور بوو""",,,
"Rudawkurdish/1509836874008911876;""21720"";""21685"";""1"";""1509836874008911876"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.319559"";""Twitter:/search/tweets"";""لە دهۆک بەشەبەنزینی ئۆتۆمبێلی تایبەت کەمدەکرێتەوە https://t.co/pty759HB6X""",,,
"Rudawkurdish/1509835015529631754;""21721"";""21685"";""1"";""1509835015529631754"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.319559"";""Twitter:/search/tweets"";""@Rudawkurdish كوردستانە    دیارە ئەوانیش پرۆژەی چاك سازیان هەیە ؟""",,,
"Rudawkurdish/1509832421910458368;""21722"";""21685"";""1"";""1509832421910458368"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.319559"";""Twitter:/search/tweets"";""RT @Sarchia_: زیادبوونی دانیشتووانی عێراق بەم ڕێژەیە لە زۆر لاوە قەیرانی گەورەی لێ دەکەوێتەوە. پێدەچێت کورد زیانی پێبکەوێت، بەتایبەت کاتێک…""",,,
"Rudawkurdish/1509831792940961793;""21723"";""21685"";""1"";""1509831792940961793"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.319559"";""Twitter:/search/tweets"";""@Rudawkurdish سەربەخۆی کوردستان""",,,
"Rudawkurdish/1509831531770134543;""21724"";""21685"";""1"";""1509831531770134543"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.319559"";""Twitter:/search/tweets"";""RT @Rudawkurdish: ئەمڕۆ یەکی نیسانە کە دەگوترێت """"رۆژی درۆیە""""  گەورەترین درۆ کە بیستبێتت چی بووە لەم رۆژەدا؟ https://t.co/afHNWfaoV4""",,,
"Rudawkurdish/1509829697022181401;""21725"";""21685"";""1"";""1509829697022181401"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.319559"";""Twitter:/search/tweets"";""🔴Live  سێرگی لاڤرۆڤ، وەزیری دەرەوەی رووسیا: مۆسکۆ پێشنیازەکانی ئۆکراینا بۆ راگرتنی شەڕ تاوتوێدەکات  #Ukraine""",,,
"Rudawkurdish/1509827382932389898;""21726"";""21685"";""1"";""1509827382932389898"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.319559"";""Twitter:/search/tweets"";""🔴Live  وەزیری دەرەوەی رووسیا: پەرە بە پەیوەندییە بازرگانییەکانمان لەگەڵ وڵاتانی ئاسیا دەدەین  #Ukraine""",,,
"Rudawkurdish/1509825835209048083;""21727"";""21685"";""1"";""1509825835209048083"";""data"";""statuses.*"";""fetched (200)"";""2022-04-01 18:09:12.319559"";""Twitter:/search/tweets"";""🔴Live  سێرگی لاڤرۆڤ، وەزیری دەرەوەی رووسیا: بە پلانی تۆکمە رووبەڕووی گەمارۆکانی وڵاتانی رۆژئاوا دەبینەوە  #Ukraine""",,,
